variant,status,model,prompt,gen,cache_k,cache_v,kv_pool_mib,baseline_mib,peak_mib,delta_mib,pp_tps,tg_tps,reason
oscar_int2,failed,granite-4.0-1b-base-bf16-rot-kv.gguf,32768,1,q2_0,q2_0,480.0,126,4036,3910,,,missing or invalid llama-bench JSON
plain_int3,unsupported,,,,,,,,,,,,"q3 KV cache is not exposed by this llama.cpp branch; common/arg.cpp supports f32,f16,bf16,q8_0,q4_0,q4_1,iq4_nl,q5_0,q5_1,q2_0."
