variant,status,model,prompt,gen,cache_k,cache_v,kv_pool_mib,baseline_mib,peak_mib,delta_mib,pp_tps,tg_tps,reason
plain_int2,ok,granite-4.0-1b-base-bf16.gguf,16384,1,q2_0,q2_0,240.0,119,3792,3673,179.997972,44.140337,
plain_int3,unsupported,,,,,,,,,,,,"q3 KV cache is not exposed by this llama.cpp branch; common/arg.cpp supports f32,f16,bf16,q8_0,q4_0,q4_1,iq4_nl,q5_0,q5_1,q2_0."
