mode,opt,variant,status,prompt,kv,peak_mib,pp_tps,tg_tps,pp_delta_vs_off,pp_pct_vs_off,tg_delta_vs_off,tg_pct_vs_off,run_dir
off,0,plain_int2,ok,512,q2_0/q2_0,3571,2038.9737,57.171132,0.0,0.00,0.0,0.00,runs/cuda_graph_ab_20260612T062854Z/off_opt0
on,1,plain_int2,ok,512,q2_0/q2_0,3571,2020.559461,55.897446,-18.4,-0.90,-1.3,-2.23,runs/cuda_graph_ab_20260612T062854Z/on_opt1
